stamp,altitude,depth,pressure,temperature
1684869351.22234,-962.047302246,1.202420354,113069.9921875,18.229999542
1684869351.2619,-1006.142272949,1.260200262,113650,18.229999542
1684869351.30215,-995.515136719,1.24625349,113510,18.239999771
1684869351.34211,-1017.517150879,1.275143385,113800,18.229999542
1684869351.38291,-1017.517150879,1.275143385,113800,18.229999542
1684869351.42226,-1050.811401367,1.318976402,114240,18.229999542
1684869351.46193,-1061.383544922,1.332923293,114380.0078125,18.229999542
1684869351.50165,-1061.383544922,1.332923293,114380.0078125,18.229999542
1684869351.54171,-1084.002807617,1.362809539,114680.0078125,18.209999084
1684869351.58181,-1094.541259766,1.37675643,114819.9921875,18.219999313
1684869351.62126,-1116.339111328,1.405646324,115110,18.229999542
1684869351.66261,-1127.597045898,1.420589447,115260,18.229999542
1684869351.70225,-1149.327636719,1.449479461,115550,18.229999542
